dimension_liee;modalite;feature;feature_pipeline;sens_de_la_feature;calcul;source
"Cohésion sociale ; TMS - coordination";regard;Ratio global de regard mutuel;gaze_mutual_gaze_ratio;Plus élevé = engagement interpersonnel et synchronisation dyadique;Agrégation canonique du regard mutuel au niveau groupe à partir des métriques dyadiques disponibles;"compute_high_level_features.py ; inv_features_config.py"
"TMS - coordination ; Attention conjointe";regard;Ratio d'attention visuelle partagée;gaze_shared_visual_attention_ratio;Plus élevé = focalisation collective sur les mêmes objets;Temps où ≥2 membres fixent la même AOI dans une fenêtre de 200-500 ms / temps valide;"Biancardi et al., 2023 ; pipeline gaze"
Coordination attentionnelle;regard;Entropie du regard;gaze_entropy;"Plus élevé = attention dispersée ; plus faible = focus partagé";Entropie de Shannon H = -Σ p_i log(p_i) sur la distribution des fixations;Sassier et al., 2025
Coordination visuelle;regard;Ratio de regard sur un même objet;shared_obj_ratio;Plus élevé = coordination spatiale accrue;Proportion du temps où ≥2 membres regardent simultanément le même objet virtuel;analyse_gaze.py
Coordination visuelle;regard;Nombre d'épisodes de regard partagé;shared_obj_n_episodes;Plus élevé = répétitions d'épisodes coordonnés;Comptage des épisodes distincts de shared gaze détectés (durée ≥ 0,2 s);analyse_gaze.py
Coordination visuelle;regard;Durée moyenne d'un épisode de regard partagé;shared_obj_dur_mean_s;Plus élevé = épisodes plus stables;Durée totale des épisodes / nombre d'épisodes;analyse_gaze.py
Coordination visuelle;regard;Taux d'épisodes de regard partagé;shared_obj_episode_rate_per_min_ref;Plus élevé = rythme soutenu d'attention conjointe;Nombre d'épisodes / durée normalisée (minutes de référence);analyse_gaze.py
"Coordination ; Contrôle de l'attention";regard;Indice d'attention conjointe;gaze_joint_attention_idx_raw;Plus élevé = convergence rapide des focus visuels;Score brut combinant durée et simultanéité d'attention sur la même AOI;PROJECT_DOCUMENTATION §10.2
"Régulation des tours ; Coordination parole-regard";regard;Ratio de regard vers le locuteur;gaze_to_speaker_ratio;Plus élevé = écoute active visuelle;Variable prévue dans le pipeline gaze mais actuellement absente du dataset VR-only exploité en v2;inv_features_config.py
Régulation multi-modale;regard;Indice de couplage regard-parole;gaze_speaker_coupling_idx;Plus élevé = alignement temporel regard → prise de parole;"Composite dépendant de gaze_to_speaker_ratio ; non exploité dans le dataset VR-only courant";inv_features_config.py
Coordination attentionnelle;regard;Entropie moyenne individuelle;gaze_entropy_mean_participants;Plus élevé = dispersion intra-membre;Moyenne des entropies individuelles des participants;PROJECT_DOCUMENTATION §10.2
Focalisation collective;regard;Proxy de focalisation du regard;gaze_focus_proxy;Plus élevé = attention concentrée sur peu d'AOI;Indice inverse de l'entropie (1 - H/Hmax);PROJECT_DOCUMENTATION §10.2
Coordination dyadique;regard;Ratio d'objet partagé par paire;pair_shared_obj_ratio_mean;Plus élevé = coopération ciblée dyadique;Moyenne pairwise des ratios shared_obj;PROJECT_DOCUMENTATION §10.2
Cohésion dyadique;regard;Ratio de regard mutuel par paire;pair_mutual_gaze_ratio_mean;Plus élevé = engagement relationnel pairwise;Ratio mutuel calculé pour chaque paire puis moyenné;PROJECT_DOCUMENTATION §10.2
"TMS - coordination ; Régulation des tours";parole;Nombre total de tours de parole;audio_total_speaking_turns;Plus élevé = interaction fragmentée (souvent défavorable);Nombre de tours > 1 s normalisé par minute et sommés;"Biancardi et al., 2023 ; audio_features.csv"
"TMS - coordination ; Fluidité";parole;Durée moyenne des tours;audio_avg_speaking_turn_duration_s;Plus élevé = tours plus longs et stables;Durée totale de parole / nombre de tours;Biancardi et al., 2023
Cohésion interactionnelle;parole;Pause moyenne entre les tours;audio_floor_exchange_pause_mean_s;Plus faible = circulation fluide du floor;Temps moyen entre la fin d'un tour et le début du suivant;Hung & Gatica-Perez, 2010
"Régulation des tours ; Compétition";parole;Ratio de chevauchement vocal;audio_overlap_speaking_ratio;Interprétation contextuelle : engagement vs compétition;Temps où ≥2 membres parlent / temps total;Hung & Gatica-Perez, 2010
Régulation des tours;parole;Ratio de chevauchement brut;overlap_ratio;Plus élevé = plus de conflits de tour;Durée de chevauchement / durée d'interaction;speech_metrics.csv
Engagement mutuel;parole;Ratio de pauses;pause_ratio;Plus élevé = interaction hachée;Temps de silence / durée totale;speech_metrics.csv
Distribution de la parole;parole;Durée moyenne d'un tour par rôle;mean_turn_s;Plus élevé = dominance du rôle considéré;Durée cumulée du rôle / nb de tours;speech_metrics.csv
Cohésion sociale;parole;Taux de backchannels;audio_backchannel_rate_per_min;Plus élevé = écoute active et affiliation;Backchannels <1 s par minute (normalisation par durée);"Hung & Gatica-Perez, 2010 ; Sassier et al., 2025"
Compétition pour le floor;parole;Ratio d'interruptions réussies;audio_successful_interruption_ratio;Plus élevé = plus forte compétition pour la parole;Interruptions aboutissant à un changement de tour / interruptions tentées;Hung & Gatica-Perez, 2010
Compétition pour le floor;parole;Taux d'interruptions (toutes);interruptions_rate_per_min;Plus élevé = alternance chaotique;Nombre d'interruptions totales par minute;speech_metrics.csv
Affect positif partagé;expressions_faciales;Taux d'épisodes de joie triade;joy_tri_rate_per_min;Plus élevé = climat socio-affectif positif;Épisodes joy simultanés (≥2 membres) par minute;analyze_aus_group.py
Affect positif partagé;expressions_faciales;Occupation de la joie triade;joy_tri_occupancy;Plus élevé = proportion de temps joy partagée;Temps total avec joy triade active / temps valide;analyze_aus_group.py
Synchronie émotionnelle (joie);expressions_faciales;Synchronie joy (Jaccard);joy_sync_jaccard_mean;Plus élevé = co-activation joy;Jaccard moyen des épisodes joy entre paires;analyze_aus_group.py
Synchronie émotionnelle (joie);expressions_faciales;Synchronie joy (Pearson);joy_sync_pearson_mean;Plus élevé = corrélation temporelle des intensités joy;Pearson moyen des signaux joy entre membres;analyze_aus_group.py
Activation positive;expressions_faciales;Pourcentage d'activation joy;joy_active_pct_mean;Plus élevé = plus de frames joy actives;% de frames joy actives par membre, puis moyenne;analyze_aus_group.py
Affect négatif partagé;expressions_faciales;Taux d'épisodes de tristesse triade;sad_tri_rate_per_min;Plus élevé = climat négatif;Épisodes sad simultanés par minute;analyze_aus_group.py
Affect négatif partagé;expressions_faciales;Occupation de la tristesse triade;sad_tri_occupancy;Plus élevé = temps passé en tristesse partagée;Temps sad triade / temps valide;analyze_aus_group.py
Synchronie émotionnelle (tristesse);expressions_faciales;Synchronie sad (Jaccard);sad_sync_jaccard_mean;Plus élevé = alignement sur affect négatif;Jaccard moyen des épisodes sad;analyze_aus_group.py
Synchronie émotionnelle (tristesse);expressions_faciales;Synchronie sad (Pearson);sad_sync_pearson_mean;Plus élevé = co-variation des signaux sad;Pearson moyen des intensités sad;analyze_aus_group.py
Alignement affectif;expressions_faciales;Indice d'alignement affectif;affect_alignment_idx;Plus élevé = variations émotionnelles partagées;Corrélation entre profils affectifs des membres;analyze_aus_group.py
Équilibre affectif;expressions_faciales;Balance d'occurrence affective;affect_balance_occ;">0 = dominance positive ; <0 = dominance négative";(Occur Joy - Occur Sad) / total;analyze_aus_group.py
Équilibre affectif;expressions_faciales;Balance de taux affectif;affect_balance_rate;>1 = plus d'épisodes positifs;Taux Joy / Taux Sad;analyze_aus_group.py
Contraste émotionnel;expressions_faciales;Contraste de synchronie (Jaccard);affect_sync_jaccard_contrast;Plus élevé = forte dissymétrie joy vs sad;Différence des Jaccard joy et sad;analyze_aus_group.py
Contraste émotionnel;expressions_faciales;Contraste de synchronie (Pearson);affect_sync_pearson_contrast;Plus élevé = synchronie positive > négative;Difference des indices Pearson joy vs sad;analyze_aus_group.py
Équilibre valence;expressions_faciales;Ratio occurrences positif/négatif;pos_neg_occ_ratio;>1 = dominance positive;#épisodes positifs / #épisodes négatifs;analyze_aus_group.py
Équilibre valence;expressions_faciales;Ratio de taux positif/négatif;pos_neg_rate_ratio;>1 = taux positif plus élevé;Taux (durée) positif / taux négatif;analyze_aus_group.py
Cohésion sociale;expressions_faciales;Ratio de sourire;face_smile_ratio;Plus élevé = climat positif;Proportion de frames avec AU6+AU12 actifs;Sassier et al., 2025
Tension relationnelle;expressions_faciales;Ratio d'affect négatif;face_negative_affect_ratio;Plus élevé = tension;Proportion de frames avec AU15 ET AU17 co-actifs (co-activation binaire);Sassier et al., 2025
Cohésion affective;expressions_faciales;Synchronie faciale;face_facial_synchrony;Plus élevé = alignement émotionnel;Corrélation croisée des signaux faciaux;Lehmann-Willenbrock & Hung, 2024
Cohésion affective;expressions_faciales;Indice global de synchronie faciale;face_sync_pearson_global_idx;Plus élevé = synchronie temporelle solide;Pearson moyen des vecteurs AU filtrés;analyze_aus_group.py
Capacité cognitive collective;tci;C-score (facteur c);c_score;Plus élevé = intelligence collective générale;1er composant principal des performances TCI;"Woolley et al., 2010 ; analyse_TCI/TCI.py"
Sensibilité sociale;tci;RME moyen;rme_mean;Plus élevé = meilleure lecture émotionnelle;Moyenne des scores Reading the Mind in the Eyes par membre;"Baron-Cohen et al., 2001 ; analyse_TCI"
Sensibilité sociale;tci;RME max;rme_max;Plus élevé = présence d'un expert socio-perceptif;Maximum des scores RME individuels;analyse_TCI
Sensibilité sociale;tci;RME min;rme_min;Plus faible = membre le moins habile;Minimum des scores RME;analyse_TCI
Utilisation des connaissances;riedl;Compétence moyenne;skill_mean;Plus élevé = capital de compétence collectif;Moyenne des skill_i reconstruits;Riedl et al., 2021
Spécialisation;riedl;Compétence maximale;skill_max;Plus élevé = présence d'un expert clé;Max des skill_i;Riedl et al., 2021
Allocation optimale;riedl;Congruence compétence-effort;skill_congruence_mean;Plus élevé = effort concentré chez les plus compétents;Corr(skill_i, effort_task_i) puis moyenne par tâche;Riedl et al., 2021
Effort collectif;riedl;Effort total;effort_task_sum;Plus élevé = intensité de travail;Somme des événements TASK_ATTRIBUTE par groupe;Riedl et al., 2021
Effort collectif;riedl;Effort moyen;effort_task_mean;Plus élevé = mobilisation moyenne;effort_task_sum / nombre de membres;Riedl et al., 2021
Équité des efforts;riedl;CV de l'effort;effort_task_cv;Plus faible = distribution homogène;Coefficient de variation des efforts individuels;Riedl et al., 2021
Équité des efforts;riedl;Indice de Gini de l'effort;effort_task_gini;Plus faible = répartition équitable;Gini sur la distribution effort_task_i;Riedl et al., 2021
Stratégies collectives;riedl;Ratio de stratégie;strategy_ratio_mean;Plus élevé = couverture des éléments de tâche;Moyenne des strategy_ratio (éléments couverts / totaux);Riedl et al., 2021
Stratégies collectives;riedl;Stratégie normalisée;strategy_norm;>1 = au-dessus de la moyenne de l'échantillon;strategy_ratio_mean / max(observé);Riedl et al., 2021
Contribution collective;riedl;Contribution moyenne;contribution_mean;Plus élevé = participation moyenne forte;Moyenne des contributions individuelles;Riedl et al., 2021
Distribution des contributions;riedl;CV des contributions;contribution_cv;Plus faible = contributions équilibrées;Coefficient de variation des contributions;Riedl et al., 2021
Couverture de tâche;riedl;Nombre de tâches;n_tasks;Plus élevé = base d'observation plus robuste;Nombre de tâches incluses pour le groupe;compute_team_indicators_rields.py
Stratégies;riedl;Tâches avec stratégie définie;n_tasks_strategy_defined;Plus élevé = plus de tâches structurées;Comptage des tâches où strategy_ratio est calculable;compute_team_indicators_rields.py
Spécialisation;riedl;Membres avec skill mesurée;n_members_with_skill;Plus élevé = couverture des compétences;Nombre de membres avec skill_i non nulle;compute_team_indicators_rields.py
TMS - coordination;questionnaire;Coordination (COR);COR;Plus élevé = coordination perçue;Moyenne des 5 items COR (Likert 1-7);"Lewis, 2003 ; analyse_questionnaire"
TMS - crédibilité;questionnaire;Crédibilité (CRE);CRE;Plus élevé = confiance dans l'expertise;Score de dimension exporté sous le nom CRE après contrôle de fiabilité du questionnaire;"Lewis, 2003 ; analyse_questionnaire"
TMS - spécialisation;questionnaire;Spécialisation (SPE);SPE;Plus élevé = connaissance des expertises;Moyenne des 5 items SPE;Lewis, 2003
Cohésion sociale;questionnaire;SOC;SOC;Plus élevé = appartenance sociale;Moyenne des 10 items SOC;Sassier-Roublin et al., 2025
Cohésion de tâche;questionnaire;TSK;TSK;Plus élevé = alignement sur la tâche;Moyenne des 3 items TSK;Sassier-Roublin et al., 2025
Communication perçue;questionnaire;COM;COM;Plus élevé = fluidité perçue;Moyenne des 3 items COM;Sassier-Roublin et al., 2025
